split,f0,f1,f2,f3,t0
train,5.1,3.5,1.4,0.2,0
train,4.9,3.0,1.4,0.2,0
train,4.7,3.2,1.3,0.2,0
train,4.6,3.1,1.5,0.2,0
train,5.0,3.6,1.4,0.2,0
train,5.4,3.9,1.7,0.4,0
train,4.6,3.4,1.4,0.3,0
train,5.0,3.4,1.5,0.2,0
train,4.4,2.9,1.4,0.2,0
train,4.9,3.1,1.5,0.1,0
train,7.0,3.2,4.7,1.4,1
train,6.4,3.2,4.5,1.5,1
train,6.9,3.1,4.9,1.5,1
train,5.5,2.3,4.0,1.3,1
train,6.5,2.8,4.6,1.5,1
train,5.7,2.8,4.5,1.3,1
train,6.3,3.3,4.7,1.6,1
train,4.9,2.4,3.3,1.0,1
train,6.6,2.9,4.6,1.3,1
train,5.2,2.7,3.9,1.4,1
train,6.3,3.3,6.0,2.5,2
train,5.8,2.7,5.1,1.9,2
train,7.1,3.0,5.9,2.1,2
train,6.3,2.9,5.6,1.8,2
train,6.5,3.0,5.8,2.2,2
train,7.6,3.0,6.6,2.1,2
train,4.9,2.5,4.5,1.7,2
train,7.3,2.9,6.3,1.8,2
train,6.7,2.5,5.8,1.8,2
train,7.2,3.6,6.1,2.5,2
val,5.4,3.7,1.5,0.2,0
val,5.8,4.0,1.2,0.2,0
val,6.1,2.8,4.0,1.3,1
val,5.6,3.0,4.5,1.5,1
val,6.4,3.2,5.3,2.3,2
val,6.5,3.0,5.5,1.8,2
test,5.1,3.8,1.5,0.3,0
test,5.7,3.8,1.7,0.3,0
test,6.7,3.1,4.4,1.4,1
test,5.6,2.5,3.9,1.1,1
test,6.9,3.1,5.4,2.1,2
test,5.8,2.8,5.1,2.4,2
